subject,run,task,url,hash
EP10,1,DOTS,https://osf.io/download/u2hct,md5:3e05afdf9c873ac34cb2ffc1141256a3
EP10,2,DOTS,https://osf.io/download/28cvb,md5:1bebd24bc8a8eeb4165c44122d1aff8d
EP10,3,DOTS,https://osf.io/download/g3cn4,md5:c261df6e43da9122577f580f7df85022
EP10,4,DOTS,https://osf.io/download/dy96c,md5:fdddde6fd1b52bc8f6d23c5c1c74687e
EP10,5,DOTS,https://osf.io/download/y5sme,md5:1157814a462e4fee47d59782d65261ed
EP10,6,DOTS,https://osf.io/download/ktvmp,md5:7bad553a41dcf69b7adca63809a6263d
EP12,1,DOTS,https://osf.io/download/9ftm4,md5:39c9ef4d6fc95f6e3b6fd85243b01d18
EP12,2,DOTS,https://osf.io/download/28euv,md5:012bc78b849b01c464389292bd242535
EP12,3,DOTS,https://osf.io/download/a96qp,md5:0565c68248b8aa8cf5f365bb18bd0732
EP12,4,DOTS,https://osf.io/download/7pk6e,md5:114097073449bb4163feff424f62aaf1
EP12,5,DOTS,https://osf.io/download/ef52s,md5:92a6781bf181e2c70345bc7a6aae5a1a
EP12,6,DOTS,https://osf.io/download/rhzwk,md5:d314b61d48bfcb392d8e1c7d47639e52
EP14,2,DOTS,https://osf.io/download/wb4yq,md5:e71bdda1ceae67235e84f146b7c145a3
EP14,3,DOTS,https://osf.io/download/fqwzk,md5:0db420dc3528a8864a63a022a8515017
EP14,4,DOTS,https://osf.io/download/xedk6,md5:e1680283ee3d2ebd39587088bc4d52e9
EP14,5,DOTS,https://osf.io/download/jx9bf,md5:e9bd5ec4bd9a48c0e882169cd00552f8
EP14,6,DOTS,https://osf.io/download/84znd,md5:3a6b67f20a6b1d8b6a8ea54b5de78657
EP18,1,DOTS,https://osf.io/download/b3skm,md5:4898b1ccc7bbded8c2d958a019d008b3
EP18,2,DOTS,https://osf.io/download/fpyd6,md5:910fef853e4c06e19b4ea3e4d08afb56
EP18,3,DOTS,https://osf.io/download/8rmqz,md5:f514a43481afd5ddf73edc1fcc2578cc
EP18,4,DOTS,https://osf.io/download/tpr6u,md5:9f1e44cffee45a1b444ab79d046d2208
EP18,5,DOTS,https://osf.io/download/8s5ng,md5:53c99d608ff38dc2db1505ef9c4ce9fd
EP18,6,DOTS,https://osf.io/download/bscqz,md5:422cb0d51e3dc970abe62ce79c55f193
EP23,1,DOTS,https://osf.io/download/8qhja,md5:69b8c1ad800a64b96a234a1570be3920
EP23,2,DOTS,https://osf.io/download/pqbf5,md5:3ec8b4af142e384a354fba0a19c99155
EP23,3,DOTS,https://osf.io/download/wb6r8,md5:164ab01c9e049e26dc3ee18a53ccc37d
EP23,4,DOTS,https://osf.io/download/mhcx5,md5:955c00e622bceee53785736b811154c7
EP23,5,DOTS,https://osf.io/download/k8vxu,md5:b782743c75b1c787f5c23cee8051b611
EP23,6,DOTS,https://osf.io/download/a8bv3,md5:32bc655e75a0cb830b69e2cdb9082ce6
EP24,1,DOTS,https://osf.io/download/bk4xy,md5:c725d2bd7ddc5ecc6f50b9b3c72e255e
EP24,2,DOTS,https://osf.io/download/qm9db,md5:10c2f75826e70fee72ca8ab039a8ade3
EP24,3,DOTS,https://osf.io/download/cbmdz,md5:21b46ae5960c2ed6b94d503483773523
EP24,4,DOTS,https://osf.io/download/d9wuc,md5:3c2f327f4225dc8bed79c21a58bab7d5
EP24,5,DOTS,https://osf.io/download/qjaf6,md5:13a6873c8242573c885670f865a215f7
EP24,6,DOTS,https://osf.io/download/hwp47,md5:7f37ce8f740cc58011e3790efbeb5d52
EP26,1,DOTS,https://osf.io/download/6mhyx,md5:a5c35305ca0d80b568ff0811ee4fd0da
EP26,2,DOTS,https://osf.io/download/my2e5,md5:c298599cb9b21af7e0110a603aa40cc6
EP26,3,DOTS,https://osf.io/download/mt6db,md5:4ce12918693498322106fe68d81413d0
EP26,4,DOTS,https://osf.io/download/9mjcr,md5:8f88adac2f4bd42729cd9152350be798
EP26,5,DOTS,https://osf.io/download/2kh8e,md5:172a8da7dc76112a14e835ddb26d68a8
EP26,6,DOTS,https://osf.io/download/8ajyk,md5:81138616059826b05085e9e1ed6c8996
EP28,1,DOTS,https://osf.io/download/72nsb,md5:ce4b98093cf56db3096a080aa117d0cb
EP28,2,DOTS,https://osf.io/download/urwt7,md5:ad20689b555bab330842bbdda73bbaa5
EP28,3,DOTS,https://osf.io/download/ztqgr,md5:8176300c98a8798f787ce69bad76e0a7
EP28,4,DOTS,https://osf.io/download/djw3p,md5:a4a15754678d08768ed1c52d17e08a80
EP28,5,DOTS,https://osf.io/download/dxq8j,md5:b89da3e5a5370db0b78aafdb996b43b9
